name,requests
US,1957
DZ,432
CN,154
FI,80
CA,77
PL,70
IT,56
NL,54
SG,48
GB,40
ES,38
JP,35
AU,26
NZ,24
IN,24
BR,22
VN,20
KR,19
DE,14
IE,13
FR,11
ZA,10
BE,9
JO,9
CH,5
HK,3
RO,3
MX,3
DK,3
PT,2
TH,2
MY,2
LV,2
AT,2
BD,1
ID,1
PH,1
SE,1
LT,1
CZ,1
PK,1
TR,1
BB,1
AR,1
